Performance1,,,,,,Performance2,,,,,,Performance3
Run 1,,,,,,Run 1,,,,,,Run 1
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1335.044,,,,,,Iteration 1: SSE = 1335.044,,,,,,Iteration 1: SSE = 1335.044
Iteration 2: SSE = 1201.32,,,,,,Iteration 2: SSE = 1201.32,,,,,,Iteration 2: SSE = 1201.32
Iteration 3: SSE = 1124.951,,,,,,Iteration 3: SSE = 1124.951,,,,,,Iteration 3: SSE = 1124.951
Iteration 4: SSE = 981.872,,,,,,Iteration 4: SSE = 981.872,,,,,,Iteration 4: SSE = 981.872
Iteration 5: SSE = 924.2804,,,,,,Iteration 5: SSE = 924.2804,,,,,,Iteration 5: SSE = 924.2804
Iteration 6: SSE = 905.0205,,,,,,Iteration 6: SSE = 905.0205,,,,,,Iteration 6: SSE = 905.0205
Iteration 7: SSE = 902.4568,,,,,,Iteration 7: SSE = 902.4568,,,,,,Iteration 7: SSE = 902.4568
Iteration 8: SSE = 900.4872,,,,,,Iteration 8: SSE = 900.4872,,,,,,Iteration 8: SSE = 900.4872
Iteration 9: SSE = 900.0666,,,,,,Iteration 9: SSE = 900.0666,,,,,,Iteration 9: SSE = 900.0666
,,,,,,,,,,,,
Run 2,,,,,,Run 2,,,,,,Run 2
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1335.044,,,,,,Iteration 1: SSE = 1335.044,,,,,,Iteration 1: SSE = 1335.044
Iteration 2: SSE = 1201.32,,,,,,Iteration 2: SSE = 1201.32,,,,,,Iteration 2: SSE = 1201.32
Iteration 3: SSE = 1124.951,,,,,,Iteration 3: SSE = 1124.951,,,,,,Iteration 3: SSE = 1124.951
Iteration 4: SSE = 981.872,,,,,,Iteration 4: SSE = 981.872,,,,,,Iteration 4: SSE = 981.872
Iteration 5: SSE = 924.2804,,,,,,Iteration 5: SSE = 924.2804,,,,,,Iteration 5: SSE = 924.2804
Iteration 6: SSE = 905.0205,,,,,,Iteration 6: SSE = 905.0205,,,,,,Iteration 6: SSE = 905.0205
Iteration 7: SSE = 902.4568,,,,,,Iteration 7: SSE = 902.4568,,,,,,Iteration 7: SSE = 902.4568
Iteration 8: SSE = 900.4872,,,,,,Iteration 8: SSE = 900.4872,,,,,,Iteration 8: SSE = 900.4872
Iteration 9: SSE = 900.0666,,,,,,Iteration 9: SSE = 900.0666,,,,,,Iteration 9: SSE = 900.0666
,,,,,,,,,,,,
Run 3,,,,,,Run 3,,,,,,Run 3
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 1335.044,,,,,,Iteration 1: SSE = 1335.044,,,,,,Iteration 1: SSE = 1335.044
Iteration 2: SSE = 1201.32,,,,,,Iteration 2: SSE = 1201.32,,,,,,Iteration 2: SSE = 1201.32
Iteration 3: SSE = 1124.951,,,,,,Iteration 3: SSE = 1124.951,,,,,,Iteration 3: SSE = 1124.951
Iteration 4: SSE = 981.872,,,,,,Iteration 4: SSE = 981.872,,,,,,Iteration 4: SSE = 981.872
Iteration 5: SSE = 924.2804,,,,,,Iteration 5: SSE = 924.2804,,,,,,Iteration 5: SSE = 924.2804
Iteration 6: SSE = 905.0205,,,,,,Iteration 6: SSE = 905.0205,,,,,,Iteration 6: SSE = 905.0205
Iteration 7: SSE = 902.4568,,,,,,Iteration 7: SSE = 902.4568,,,,,,Iteration 7: SSE = 902.4568
Iteration 8: SSE = 900.4872,,,,,,Iteration 8: SSE = 900.4872,,,,,,Iteration 8: SSE = 900.4872
